long,long,long,long,long,long,flags,flags,flags,flags,flags,flags,flags,flags,flags,long,long,long,long,long,long,long,flags,long,flags,long,long,long,long,long,long,long,long,long,long,None,long,flags,long,flags,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,flags,flags,long,long,long,long,long,long,long,long,long,long,flags,None,float,float,float,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,float,float,float,long,long,long,flags,flags,flags,long,long,flags,long,long,long,float,None,None,long,long,long,long,long,str,None,None,None,None,None,None,None,flags,str,None,None,None,None,None,None,None,flags,str,None,None,None,None,None,None,None,flags,str,None,None,None,None,None,None,None,flags,long,long,long,long,long,flags,long,long,long,long,long,float,float,float,long,long,long
1,3,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,7,0,0,7,0x0,0,0x0,101,0,0,0,0,0,0,10,0,0,,1,0x0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0x0,0x0,5,0,0,6,0,0,0,0,0,0,0x0,,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0x0,0x0,0x0,0,0,0x0,0,0,0,0,,,0,0,1,0,50,"Word of Recall (OLD)",,,,,,,,0x7F007E,"",,,,,,,,0x7F007C,"",,,,,,,,0x7F007C,"",,,,,,,,0x3F007C,0,0,0,0,0,0x0,0,0,1,1,-1,1,1,1,0,0,0
3,3,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,8,0,0,0,0x0,0,0x0,101,0,0,0,0,0,0,10,0,0,,1,0x0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0x0,0x0,5,0,0,6,0,0,0,0,0,0,0x0,,0,0,0,0,0,0,0,0,0,20,0,0,9,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0x0,0x0,0x0,0,0,0x0,0,0,0,0,,,0,0,1,0,50,"Word of Mass Recall (OLD)",,,,,,,,0x7F007E,"",,,,,,,,0x7F007C,"",,,,,,,,0x7F007C,"",,,,,,,,0x3F007C,0,0,0,0,0,0x0,0,0,1,1,-1,1,1,1,0,0,0
4,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x20,0x0,0,0,0,1,0,0,0,0x0,0,0x0,101,0,0,0,0,0,0,10,0,0,,1,0x0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0x0,0x0,5,0,0,6,0,0,0,0,0,0,0x0,,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0x0,0x0,0x0,0,0,0x0,0,0,0,0,,,0,0,1,0,50,"Word of Recall Other",,,,,,,,0x7F007E,"",,,,,,,,0x7F007C,"",,,,,,,,0x7F007C,"",,,,,,,,0x3F007C,0,0,0,0,0,0x0,0,0,1,1,-1,1,1,1,0,0,0
5,1,0,0,0,0,0x9000000,0x20000,0x4000004,0x10000000,0x0,0x0,0x0,0x0,0x0,0,0,0,1,0,0,0,0x0,0,0x0,101,0,0,0,0,0,0,0,0,0,,6,0x0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0x0,0x0,1,0,0,6,0,0,0,0,0,0,0x0,,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0x0,0x0,0x0,0,0,0x0,0,0,0,0,,,0,0,1,0,50,"Death Touch",,,,,,,,0x3F007E,"",,,,,,,,0x7F007C,"Instantly Kills the target.  I hope you feel good about yourself now.....",,,,,,,,0x7F007E,"",,,,,,,,0x3F007C,0,0,0,0,0,0x0,0,0,0,0,-1,1,1,1,0,0,0
7,0,0,0,0,0,0x9000000,0x20,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,1,0,0,0,0x0,0,0x0,101,0,0,0,0,0,0,0,0,0,,1,0x0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0x0,0x0,1,0,0,1,0,0,1,0,0,0,0x0,,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0x0,0x0,0x0,0,0,0x0,0,0,0,0,,,121,0,153,0,50,"Suicide",,,,,,,,0x7F007E,"",,,,,,,,0x7F007C,"",,,,,,,,0x7F007C,"",,,,,,,,0x3F007C,0,0,0,0,0,0x0,0,0,1,1,-1,1,1,1,0,0,0
10,4,0,0,0,0,0x10000,0x1000008C,0x400000,0x0,0x0,0x0,0x0,0x40,0x0,0,0,0,1,0,0,15,0x0,31756,0x0,100,0,25,20,20,31,0,320,0,0,,10,0x0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0x0,0x0,27,0,0,1,0,0,1,0,0,0,0x0,,0,100000001490116,0,0,24,0,0,0,0,0,28,0,0,0,0,0,14,0,0,3,0,0,1000,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0,0,0x0,0,0,0,0,,,259,0,285,0,50,"Blizzard",,,,,,,,0x3F007E,"Rank 1",,,,,,,,0x3F007E,"Ice shards pelt the target area doing $o1 Frost damage over $d.",,,,,,,,0x3F007E,"$s1 Frost damage every $t1 $lsecond:seconds;.",,,,,,,,0x3F007E,0,133,1500,0,3,0x80080,0,0,1,1,-1,1,1,1,0,0,0
11,3,44,0,1,0,0x40000,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,1,0,60000,0,0x0,0,0x0,101,0,0,0,20,2,0,33,0,0,,1,0x0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0x0,0x0,6,0,0,1,0,0,1,0,0,0,0x0,,0,0,0,99,0,0,0,0,0,1,0,0,0,0,0,0,0,0,31,0,0,0,0,0,1,0,0,0,0,0,0x0,0x0,0x0,0,0,0x0,0,0,0,0,,,6,0,58,0,50,"Swiftness",,,,,,,,0x7F007E,"",,,,,,,,0x7F007C,"",,,,,,,,0x7F007C,"",,,,,,,,0x3F007C,0,0,0,0,0,0x0,0,0,1,1,-1,1,1,1,0,0,0
12,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x80,0x0,0,0,0,1,0,0,0,0x0,0,0x0,101,0,0,0,0,1,0,0,0,0,,1,0x0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0x0,0x0,6,0,0,6,0,0,0,0,0,0,0x0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1000,0,0,1,0,0,0,0,0,0x0,0x0,0x0,0,0,0x0,0,0,0,0,,,0,0,1,0,50,"Hot Foot (TEST)",,,,,,,,0x7F007E,"",,,,,,,,0x7F007C,"",,,,,,,,0x7F007C,"",,,,,,,,0x3F007C,0,0,0,0,0,0x0,0,0,1,1,-1,1,1,1,0,0,0
13,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,1,0,0,0,0x0,0,0x0,101,0,0,0,0,9,0,0,0,0,,1,0x0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0x0,0x0,6,0,0,1,0,0,1,0,0,0,0x0,,0,0,0,199,0,0,0,0,0,1,0,0,0,0,0,0,0,0,58,0,0,0,0,0,1,0,0,0,0,0,0x0,0x0,0x0,0,0,0x0,0,0,0,0,,,34,0,1,0,50,"Swim Speed (TEST)",,,,,,,,0x7F007E,"",,,,,,,,0x7F007C,"",,,,,,,,0x7F007C,"",,,,,,,,0x3F007C,0,0,0,0,0,0x0,0,0,1,1,-1,1,1,1,0,0,0
14,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x80,0x0,0,0,0,1,0,0,0,0x0,0,0x0,101,0,1,0,1,0,0,10,0,0,,1,0x0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0x0,0x0,8,0,0,6,0,0,2,0,0,0,0x0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0x0,0x0,0x0,0,0,0x0,0,0,0,0,,,165,0,1,0,50,"Mana Drain",,,,,,,,0x7F007E,"",,,,,,,,0x7F007C,"",,,,,,,,0x7F007C,"",,,,,,,,0x3F007C,0,0,0,0,0,0x0,0,0,1,1,-1,1,1,1,0,0,0
