long,long,long,long,long,long,long,long,long,None,None,None,None,long,None,None,long,None,None,long,None
24,41,0,0,11094,13043,0,0,0,,,,,0,,,0,,,0,
26,41,0,1,11069,12338,12339,12340,12341,,,,,0,,,0,,,0,
27,41,0,2,11078,11080,12342,12343,0,,,,,0,,,0,,,0,
29,41,0,3,11366,0,0,0,0,,,,,27,,,3,,,1,
28,41,1,0,11100,12353,0,0,0,,,,,0,,,0,,,0,
23,41,1,1,11083,12351,12352,0,0,,,,,0,,,0,,,0,
30,41,1,2,11103,12357,12358,12359,12360,,,,,27,,,3,,,0,
33,41,2,0,11115,11367,11368,11369,11370,,,,,0,,,0,,,0,
32,41,2,1,11113,0,0,0,0,,,,,0,,,0,,,1,
1141,41,2,3,18459,18460,34277,0,0,,,,,0,,,0,,,0,
31,41,3,1,33897,33898,0,0,0,,,,,0,,,0,,,0,
1639,41,3,3,33905,33906,33907,34271,34272,,,,,0,,,0,,,0,
1764,41,4,0,33900,0,0,0,0,,,,,33,,,4,,,1,
1765,41,4,1,33901,33902,33903,0,0,,,,,0,,,0,,,0,
1766,41,4,2,34125,0,0,0,0,,,,,32,,,0,,,1,
25,41,4,3,11095,12872,12873,0,0,,,,,0,,,0,,,0,
34,41,5,0,11119,11120,12846,12847,12848,,,,,0,,,0,,,0,
35,41,5,2,11124,12378,12398,12399,12400,,,,,0,,,0,,,0,
1767,41,5,3,33909,33910,0,0,0,,,,,0,,,0,,,0,
36,41,6,1,11129,0,0,0,0,,,,,1765,,,2,,,1,
70,61,0,0,11189,28332,0,0,0,,,,,0,,,0,,,0,
37,61,0,1,11070,12473,16763,16765,16766,,,,,0,,,0,,,0,
65,61,0,2,11175,12569,12571,0,0,,,,,0,,,0,,,0,
1768,61,1,0,33911,33912,33913,0,0,,,,,0,,,0,,,0,
38,61,1,1,11071,12496,12497,0,0,,,,,0,,,0,,,0,
62,61,1,2,11165,12475,0,0,0,,,,,0,,,0,,,0,
64,61,1,3,11190,12489,12490,0,0,,,,,0,,,0,,,0,
